,TF-IDF
little,32.435909010770494
no,27.171351938554515
poor,21.66862664328431
old,20.536014343126165
into,19.879665203901183
how,18.37892093118156
mother,16.9756662707876
nothing,15.976729384510268
man,15.927906425981744
away,15.792672675686868
only,15.111887562307553
day,15.087958575517003
father,14.277465336463118
their,14.23114604020023
time,14.091085424755667
more,13.912949520647487
long,13.216625648278619
still,12.96310601625411
home,12.587660349163443
last,12.531544086749644
dead,12.529023342160768
sat,12.457370009444354
looked,12.391271843252946
fell,12.365476611030445
king,12.273216479183201
other,12.055174774338237
child,11.727007968210552
tree,11.692835056349027
boy,11.409797967111427
oh,11.318964069401249
wept,11.275166319164713
quite,11.208766330903737
about,10.893897868744263
upon,10.814457456586318
girl,10.73951990770545
himself,10.714808096721688
like,10.700627723837997
much,10.632310641449937
any,10.454382934542773
never,10.419010619934507
heart,10.375866983806803
good,10.329021351092658
tears,10.121327444974716
some,9.926336890379234
lay,9.790624251547186
house,9.665040561916438
cannot,9.594391603895833
before,9.560631937917567
once,9.550538459617082
wife,9.503159974412531
woman,9.502659942054922
its,9.494658105386684
grave,9.354831493759148
water,9.246444375526886
great,9.244268503820834
bed,9.197475476430457
eyes,9.127236197803633
left,9.044556450563771
began,9.025862687196154
night,8.949879245834222
well,8.883539939936737
alas,8.78797220967919
cold,8.682083183711171
after,8.60352198912749
way,8.511563476042296
children,8.471328745562335
two,8.436459725364623
let,8.38413611732463
ah,8.287164445517236
passed,8.26201256584884
world,8.201291981732808
through,8.196082436711544
head,8.137426300092805
cried,7.943996756062262
even,7.895544384961172
own,7.835484668332454
evening,7.807423223715738
large,7.693154934538719
whole,7.671456944562405
every,7.610945306116316
sad,7.540674956164016
stood,7.524969338268285
wood,7.4256150512966625
beautiful,7.390187922638723
years,7.312043967368969
days,7.247046926947103
heard,7.1265241766584
life,7.124490769809795
something,7.117713226061434
three,7.082119331938708
many,7.029188226487168
longer,6.92063156401409
back,6.849829178387355
off,6.804892122063153
herself,6.769370451139491
cry,6.724545830165996
each,6.7094611873543135
yet,6.702751099686087
our,6.6084684521862975
look,6.57873191254605
remained,6.564929193692152
help,6.540993786850318
flower,6.512646876652668
yes,6.511705279909713
ill,6.502543693968401
dark,6.440808648291272
soon,6.425128232713392
however,6.407325672246224
room,6.388260701665608
died,6.386889861151544
going,6.379903816799401
forest,6.376033482187651
morning,6.332077993284769
till,6.30647903096772
answered,6.28501970907806
bird,6.263778760293432
husband,6.2502704029810765
white,6.21425005560829
another,6.093924100160133
young,6.039193001455637
set,6.016556395306681
garden,5.995929479303092
put,5.9652762756088125
wish,5.914614858980144
dear,5.867471552393024
lost,5.775280520263845
gretel,5.684564887235847
shudder,5.678333429960281
farewell,5.657688172461189
weep,5.6041554101776185
door,5.586623416462899
money,5.576835006237131
called,5.576035265322334
bear,5.572948666836186
rose,5.565612623020882
nor,5.56155185810475
pity,5.546874253288803
hard,5.5378234954013905
became,5.452885746384916
ever,5.436849628408888
carried,5.421429062140391
wished,5.410506839394939
son,5.401207690472482
daughter,5.356963727687874
place,5.335978099662888
leaf,5.3191925521846875
together,5.280973971757349
grief,5.255524108793546
become,5.253721722505361
brought,5.251813368092587
enough,5.178641023559514
asleep,5.12861819474984
lived,5.128211246626807
death,5.122806889605504
laid,5.104134950207953
weeping,5.0818181309574735
fox,5.0716501370387395
hand,5.066030087442338
coffin,5.048535273540409
earth,5.028137456876049
ib,5.0125379416757365
flowers,4.999406959125088
sitting,4.9863742079318945
grew,4.950834565848474
warm,4.918884067593554
far,4.903633672563979
heaven,4.872866620959536
grandmother,4.847859954753417
live,4.841064576897445
sorrow,4.819307891900155
window,4.736302813564212
fallen,4.732506663721665
ran,4.716241943932483
rest,4.711369925022973
fire,4.711209254928464
these,4.688979528956614
alone,4.688073844838085
nobody,4.670479357945726
sleep,4.662718964932366
eat,4.65302815729897
anthony,4.649672434188388
leaves,4.624378405194085
leave,4.605956549452268
looking,4.598333534533025
brother,4.587789897594962
both,4.56481262972335
flew,4.561314959765706
bring,4.552391969543429
wanted,4.535868848687891
red,4.523847412383374
hands,4.5216839560467985
wind,4.490073581551603
during,4.48752025601921
