,TF-IDF
little,54.821814467671075
beautiful,39.73759067083047
how,39.32677025964166
old,37.468218773453785
into,36.82962535268244
good,35.95417629658649
their,33.899755594141865
king,30.903600165273144
like,30.796305633420918
well,29.557937160312505
more,27.752387795530762
man,26.65589716457974
no,26.29377920913325
great,25.878067865630978
tree,25.102242786716687
day,24.591311848439133
about,24.029194537820864
bird,23.485736193055175
mother,23.26576734301663
much,22.626783582993774
home,22.58211452075174
father,20.77697350776063
quite,20.426405371173168
time,20.152984422652803
heart,19.910767298963997
other,19.73672370443015
yes,19.592726462907493
looked,19.54231016722682
before,19.424257010903066
away,19.342387382529232
only,18.99346144131082
upon,18.906563573973216
happy,18.742928170098452
eyes,18.674283286584178
two,18.656482206901476
joy,18.496964040927796
oh,18.413777202902676
princess,18.322479036051956
still,18.164313551707085
himself,18.015800760103375
never,17.63241366193556
long,17.624334402702708
after,17.52545333496319
wife,17.36391036643367
its,17.314800897133043
world,16.998615925606675
heard,16.8628476128739
some,16.809692746502833
house,16.494071410973135
boy,16.42503306661954
hand,16.3044516814235
every,16.213331111566465
once,16.079455910960093
child,15.896095512531451
gold,15.870080702387904
each,15.839211578534698
tailor,15.55923148560846
off,15.35132777678642
back,15.336807373103245
way,15.217215515911747
soon,15.156470912524467
round,14.986207033813805
cried,14.809565500945425
flowers,14.779965870336833
sat,14.674521702605785
young,14.653334545220135
together,14.61649563163017
water,14.609112911135508
sing,14.473846163772503
golden,14.46651650582725
everything,14.40689522838667
put,14.260287763272448
life,14.215651000652965
brought,14.210297442626265
let,14.155708019690515
most,14.109295116172309
through,14.066038697530011
stood,13.911662174198312
children,13.877087355589598
our,13.85548064742528
three,13.833879513593796
thing,13.74562336527873
hans,13.68869296320913
another,13.678028785217476
answered,13.565309825149033
look,13.464981057410927
son,13.373367791215147
such,13.164609182365572
head,13.15788843542257
horse,13.047680723779447
sun,12.644094288287118
song,12.632691969367349
red,12.604835287370802
white,12.576079373891409
daughter,12.41397486395131
last,12.381679384174983
nothing,12.346063708814253
dear,12.27833588093988
people,12.241216785376023
full,12.230353439539398
best,12.209311937346726
room,12.19784079155061
these,12.188511557672847
own,12.161857670472848
many,12.14204037775909
first,12.057998528311217
kissed,12.022551612174126
light,12.017843679150381
merry,11.9931940694117
night,11.95581155591201
really,11.80533523439372
pretty,11.70654405699273
herself,11.626221557711807
whole,11.505108816426167
fine,11.49590804404177
green,11.443019345395726
pleased,11.401655959852198
woman,11.33025530338049
large,11.189510712552618
rose,11.037705284925169
till,11.035307498653891
warm,10.954278341609367
even,10.92363920483104
began,10.77998655453383
eat,10.75984447424551
wedding,10.738910744819478
god,10.694495317021415
heaven,10.65140687875816
yet,10.612288761434622
lived,10.551436171902738
seemed,10.531298642269297
ah,10.496155995679567
ever,10.459792841608968
air,10.447169533792259
better,10.36598693364841
flower,10.186219855665152
love,10.164493517965317
set,10.062786440377018
queen,10.046745271146849
indeed,9.973341639356947
pig,9.924548827403733
forest,9.912374970690202
ran,9.879156130196375
pleasure,9.758496971140932
bring,9.747015585739941
door,9.65218213710428
bright,9.634115070268743
loved,9.600974296429726
wish,9.535186118599354
lovely,9.529279561392013
sang,9.502429593471488
fell,9.501159089707038
glad,9.500128486306732
danced,9.491403717065811
emperor,9.48716538082249
same,9.459577272673096
evening,9.441094475250319
gretel,9.439408919730818
something,9.43065586130563
sweet,9.417055139088237
singing,9.361247676108892
dead,9.307498074785801
wonderful,9.286372498343239
hear,9.189686311204035
however,9.179442854839513
place,9.143304403476565
became,9.141099116466005
both,9.078218643076468
bed,9.03628647968897
next,9.029090230984373
wood,9.027804632374497
soldier,9.018670016464657
girl,8.928441338017793
thou,8.858848003653101
poor,8.799726030787
