,TF-IDF
no,12.654141574445108
little,7.900536124419229
away,7.742431978736703
thou,7.041940228890277
nothing,6.780453214601858
like,6.716326888411848
mother,6.253982644134681
only,6.075606417569197
well,5.9411339758458075
good,5.830562360546966
old,5.716827908506563
never,4.820081677175069
don,4.671783586415994
let,4.667592826968657
such,4.658338996206528
king,4.60566027617234
other,4.485547818811045
head,4.141221405103456
into,4.030136966351209
off,3.876355335348586
some,3.7603527237963914
their,3.7466315163233412
even,3.6924957204582425
want,3.5774988600287356
any,3.547079544479863
cannot,3.5466621966233736
world,3.5281814114532715
son,3.4830082127962387
thing,3.459737890367012
man,3.4547506757092568
great,3.4516307077247177
look,3.226968073349227
himself,3.136847541467377
door,3.01609698439857
better,3.0101380816524648
how,2.9558093545022603
something,2.9491875657290136
wilt,2.937713655784636
our,2.8990258402252045
about,2.8921830979119476
day,2.886844476179994
much,2.8736754958497115
still,2.8587652637551635
child,2.8432371888370604
people,2.7832488509584103
till,2.763513581091125
story,2.6191073143861665
last,2.592999865400063
enough,2.5621088858602117
oh,2.5452118381912996
going,2.5231089433435594
princess,2.4999212124341885
use,2.4876193119810535
replied,2.429210125535012
cried,2.412235400203032
back,2.393351339881791
things,2.3916556595183
woman,2.3799537015948933
these,2.364922078064994
beautiful,2.35910601631955
ugly,2.3567242728221895
poor,2.3347078335387517
horse,2.3148402554283707
wife,2.314108011645222
put,2.2881021743264296
lord,2.277913186913036
care,2.246394268322897
stupid,2.1980932275797613
laughed,2.1718810424649955
home,2.154459598089036
certainly,2.1514263533443074
pretty,2.1446259358058577
art,2.1313753490456904
quite,2.1063466916247156
shame,2.0871041874859806
men,2.077303272344988
young,2.0676147789967323
every,2.055317300278076
upon,2.052480952495418
boys,2.0439403659712703
whole,2.04046532933403
thee,2.0261896695160284
another,2.0197855667173674
always,2.0054302083448974
already,1.9920724501492644
herself,1.9854605716693863
next,1.9805131151014375
others,1.935659554287842
left,1.934599476393832
die,1.9183464599708153
hen,1.9174275506488543
thy,1.9083986706363087
shoes,1.8886804413763856
two,1.886723703153654
mouse,1.8734904968861807
same,1.8580486898315383
more,1.8541922489247387
beetle,1.8352015367146965
first,1.8277883006115756
without,1.814493586578206
death,1.7958635930375586
looked,1.791324355742309
canst,1.7858418858213794
dance,1.780093723481126
rats,1.7587355222298955
brother,1.757198302414623
myself,1.741918041436652
boy,1.7313068533737184
most,1.7253436155395117
listen,1.7220755580605664
children,1.69690182962097
indeed,1.694490452411741
cat,1.6924657348957106
father,1.6805013083409819
before,1.6798019553215457
exclaimed,1.6684689739417229
own,1.6621686389312718
those,1.6537689759085685
hans,1.6500141558801458
heaven,1.6441544849427132
ridiculous,1.6371587812968622
daughter,1.6359453837785065
life,1.6133058796934077
emperor,1.61179572973972
ah,1.6061586139679964
bride,1.6044813646103122
ugh,1.6001298880910628
brothers,1.5885580571271336
yes,1.5852474233603544
flew,1.5820312834256685
lady,1.5807826630350763
nor,1.580643352908384
peter,1.5766135954691989
true,1.569993781219205
word,1.5595605335268252
walked,1.543670303273879
longer,1.5189361741033143
answered,1.4962580994726926
bishop,1.4958315466585623
way,1.490627799811491
really,1.48879414848544
eyes,1.4877461361335813
mrs,1.4841480916336645
silly,1.4754459055437628
plucked,1.4719285457167253
daughters,1.468954672857865
called,1.456554531903737
best,1.4521958064757774
themselves,1.4487066618324607
plant,1.4384929917429419
call,1.4233717913471369
turned,1.4143957689539668
tired,1.410835480401189
help,1.4094540097954904
water,1.4021441961531491
cold,1.3990652554661158
duck,1.3890226349370478
dirty,1.3858971692281092
kaela,1.3813828658848213
nonsense,1.3806963567917308
clothes,1.3799900830027008
each,1.3763234077084066
miserable,1.3749118143430952
high,1.3747399295810896
mamma,1.3725203841588907
keep,1.3486399233203117
set,1.3449509069046766
forest,1.3384341939719453
bear,1.3328771531316592
live,1.3301761198554374
room,1.330091701321618
heart,1.3250682801223217
behind,1.3229206762517647
remain,1.3184134003121089
snail,1.3105686251434927
fall,1.308327579267241
sure,1.3055061434839799
right,1.3045222380671833
morning,1.2933885886611245
dwarf,1.2907547960306531
far,1.2838230417467422
dear,1.2807941920027859
grant,1.2762780443180013
castle,1.2746927996052457
near,1.2692359898462253
hast,1.2609631457965615
time,1.2443783589278858
spring,1.2352746456589496
able,1.232004864275006
spat,1.2299217461803984
moment,1.2231035934558114
proud,1.2229037013097492
house,1.2226846920530847
sin,1.2210835392870276
forgotten,1.2185047871724555
black,1.2167461283594605
stay,1.2146816675907028
run,1.2117601367347894
third,1.20709635159497
brought,1.2058874010295988
wicked,1.202148195224337
shook,1.2019345065172915
goblin,1.2010446321606942
bush,1.197722103622417
hand,1.1933694405204893
until,1.1903888744163973
fish,1.1888771837731515
sleep,1.1857965534373558
terrible,1.1844769840531484
natural,1.1812498552091548
mouth,1.1731189131085216
half,1.17235959479327
tittlemouse,1.1702914781856866
field,1.164467944460609
rest,1.1591607700341728
toad,1.158880314755072
sit,1.1490406272329405
many,1.1447267220167643
ball,1.1429493412121792
long,1.1399272289915474
eye,1.1381630427018095
ever,1.1319736615306142
cut,1.1311463244536362
once,1.1291822452842823
brown,1.125925505925458
stared,1.124317702510381
fellow,1.1228128378380084
cook,1.1209973739771895
family,1.1179709795899195
portuguese,1.1173455957848115
whose,1.1102724366576466
through,1.1081852564720915
looks,1.1060541808328321
girl,1.1022951760727517
accustomed,1.1007289822112094
garden,1.0947748868270935
therefore,1.092570931161319
lay,1.0889597605569927
despised,1.088766409469168
earth,1.0867016152926983
enjoy,1.0842046944125259
rose,1.0840531909020434
touched,1.080771255528899
mayor,1.0710925210292763
getting,1.0618081710033465
dead,1.0548385660388138
farmer,1.0548303457781312
ashamed,1.051530140846265
conceited,1.0514695253823705
apple,1.045484659038201
night,1.044844032257576
anyone,1.0448012860156908
soon,1.0447644950379766
st,1.0427679442916586
broom,1.0389196413737265
sun,1.0372159772872096
ours,1.0345662386611307
god,1.03124586135097
crack,1.029153356090576
alone,1.0272665429791614
everything,1.0188400151716919
boots,1.0081642450197466
looking,1.004822847271442
jeremy,1.0030745579646416
blood,1.000509969627049
miser,1.0
farther,0.9977022977693657
repeated,0.9939435817978721
queen,0.990918688986071
conquer,0.9871720151067809
heard,0.9867698119125485
rode,0.9832005342528611
both,0.9811536867309922
thrown,0.9803512674457273
birds,0.9784434070870736
rubbish,0.9782494380162875
town,0.9767535211766649
eat,0.9766839027621719
whatever,0.9759356205148044
talk,0.9755745984352384
lifted,0.9747812453715509
mercy,0.9731412463280462
wished,0.9704717671684888
ought,0.9703928026735981
moppet,0.9681319800625547
miss,0.9681319800625547
leave,0.965178447049835
cow,0.9637832122561101
throw,0.9635392080539474
tea,0.9620925547869348
snails,0.9616256388805213
peck,0.9615704857230224
saying,0.9573970340503127
outside,0.9549602929048117
stick,0.9543883752492668
although,0.9540023439951679
frogs,0.9494226708420221
lazy,0.9431798223340631
lose,0.9399764490749025
grocer,0.928903548471679
piece,0.9268418412697447
alas,0.924180342509503
heap,0.9194660756160771
sometimes,0.9192705846178798
need,0.9107521641175451
second,0.9079683828358455
neighbors,0.9060139447895894
however,0.9051066587376903
harm,0.9045991368524813
big,0.9025228993781982
living,0.9018854832212497
blockhead,0.9009964454269913
smell,0.9009071465005116
thistles,0.898479913991252
system,0.898461962479532
wait,0.895450138497439
respectable,0.8844240015608377
ran,0.8834179970413387
began,0.8821419565571154
opened,0.8812455877270384
ducky,0.8796292227416262
doting,0.8796292227416262
please,0.8777800730734984
shoe,0.8740735853076421
ladies,0.8734855129865636
wild,0.8721590373332858
horrible,0.8706186108127889
flowers,0.8699603943941185
follow,0.8674452303474504
pride,0.8664599748827118
hall,0.8658245418053049
tiny,0.8657045356912346
grandfather,0.8604752104763995
red,0.8602601983877908
dullard,0.8585359006983306
answer,0.8565962084815102
air,0.8558699688368926
golden,0.8552564762840017
journey,0.8543600178691032
hands,0.8517617620052884
serve,0.8493345257296261
work,0.84575555289563
face,0.844716819148863
received,0.8406511973711693
winter,0.8362142214951684
dry,0.8347161023524523
together,0.8284491103349433
useless,0.8275490267940825
matter,0.8239489497868762
tall,0.8228527330522123
affair,0.8225938785625461
wood,0.8225002203874954
branch,0.818728187593482
bred,0.8167315944941913
pooh,0.8164471516705089
bit,0.8156926685794236
recognize,0.8152466081879745
step,0.8141311804031142
fly,0.8126678193409883
mind,0.8115303902570088
among,0.8095812919837444
kill,0.8068812722154939
felicita,0.8015553924176031
houses,0.8014700915814366
place,0.8004015277450813
broken,0.7985376777391046
impossible,0.797831464423548
mankind,0.797626051276805
mice,0.7966888497747279
nose,0.7961445770022344
sped,0.7960432673223932
gods,0.7960432673223932
kitchen,0.794988078879538
yard,0.7946473435888205
trust,0.7940975543339555
wish,0.7930799767069667
sticking,0.7928171921072223
yet,0.7910753024540058
yonder,0.7889668536136911
feathers,0.7889203001497601
fetch,0.7874535394881352
husband,0.786026225472215
return,0.7815746716768914
rather,0.7794327053316819
fisher,0.7688794900959418
ashputtel,0.7657977882179694
nutkin,0.7643617856381149
hill,0.7625168959460017
complete,0.7617200800489098
fine,0.7615093488355459
turning,0.7615000768064648
riddle,0.7601772562139191
lost,0.7591716148533979
hear,0.756547343539959
yus,0.7559289460184545
opinion,0.7557568149574716
knees,0.7531903212061476
search,0.7518176349865193
green,0.7510317029827283
papers,0.7503862814164655
carrying,0.7497082558305104
sort,0.7480416302228012
evening,0.7477686743648311
sad,0.7476546359958633
cant,0.7467793838721141
