,TF-IDF
no,22.425944849383274
into,20.83560927903747
king,17.94746461011085
cried,17.92729573679836
away,17.17489660603745
little,16.012624711985662
old,13.963714125995581
man,12.647426351179947
off,11.781737305974014
let,11.696185563163644
more,11.583507561835845
well,11.563175230580505
their,10.836334738606686
about,10.635103629447253
how,10.509366252721051
head,10.154988559689249
hans,10.047105028922067
nothing,9.968833063430983
boy,9.883914637939197
angry,9.81173168204104
father,9.743146302314818
thou,9.470976694739418
time,9.341039207066801
other,9.049214903646204
once,8.908540749608553
upon,8.799519426568564
back,8.746299035158103
good,8.697373212685482
house,8.578534420486275
never,8.543488945267606
quite,8.45787390148141
woman,8.216605701660027
answered,8.117411694146542
last,7.9618077088046535
before,7.91717878408635
fell,7.91478671620373
however,7.875139061614892
only,7.7759229196516975
put,7.662790414091064
better,7.642143108358739
home,7.6399935635669785
wife,7.415384452414489
like,7.327442176585804
mother,7.321579592763916
replied,7.291953132834976
wretch,7.272083961684578
fish,7.210459138035133
first,7.12524288560168
soon,7.100224984563934
great,6.843196894152256
any,6.8273511429003095
tod,6.825324815844477
door,6.766299983810762
after,6.751147484752666
two,6.651244922158271
enough,6.582790780722155
ran,6.5520763251257
such,6.546742264356159
princess,6.492213864803829
himself,6.491022690222245
night,6.416883439247357
yet,6.357850892443351
looked,6.327076030606655
daughter,6.244878576761807
our,6.207348125894682
want,6.197032539685868
way,6.190004419025362
queen,6.185045732039009
don,6.161170022404001
round,6.112885810867873
began,6.075055687802986
called,6.017468188669395
wicked,5.98430283727775
look,5.923099448012585
bed,5.903410708476569
own,5.901160464215295
day,5.884426121992101
next,5.857776307432603
husband,5.844582974451322
still,5.818488797864234
mind,5.7571598813592715
young,5.719665919521468
youth,5.713531597000162
witch,5.70078375274958
longer,5.69009424454621
eyes,5.678547431077566
third,5.661708599749979
bird,5.628679163482886
brought,5.542833425392687
another,5.491842645950136
some,5.38411513366803
care,5.3770447760699085
bear,5.331046126015101
eat,5.272724614277633
turned,5.25599234504462
work,5.19194938590247
long,5.165199446807433
son,5.112888343771694
life,5.109658340121412
horse,5.089893228304749
fox,5.0678611052213975
much,5.0574703236829555
cut,5.038539921173444
kill,5.00113837761106
thee,4.935674208372072
cannot,4.913572993938928
going,4.858748821485289
till,4.835782921770284
without,4.7896964249125125
ill,4.760031945847393
anything,4.73141999098369
tailor,4.669573833934703
every,4.667035361694966
die,4.651670198599807
scolded,4.629232426956004
flew,4.581321979924469
threw,4.470749935484591
behave,4.4488385956103125
master,4.4346917097617675
keep,4.356575293006262
three,4.347801683006008
water,4.3431478031518616
oh,4.329998905215082
