,TF-IDF
into,26.79736819516883
little,24.79624371559933
no,23.915975236493562
away,19.483403920341015
cried,17.15491225714625
king,17.089542670516337
how,15.725721507668089
back,14.98936997872303
man,14.766446798554576
way,13.955388668087036
before,13.540319483129407
time,13.34634552190334
water,13.30776675426825
frightened,13.267595285527719
door,13.083931161839791
wife,12.991755258158717
himself,12.969127495972995
oh,12.940157068178378
about,12.72819704297516
upon,12.668283342329637
still,12.493745245471587
old,12.39510072327534
their,12.234636256301291
after,11.966945222845677
ran,11.81001153066364
however,11.779449396476116
let,11.711875217454654
looked,11.662241276229313
like,11.262995692097425
only,11.209405783582556
quite,11.118668681451133
head,11.10815662317813
well,11.096845416722639
day,11.08146195159345
great,10.985943288868423
heard,10.967873217028968
much,10.654639934645948
night,10.644621668568721
poor,10.495693442675197
home,10.474383159432168
some,10.463647492635692
long,10.366007833388231
fell,10.274658471339835
woman,10.001030796031667
good,9.991832585490675
last,9.97733230670323
more,9.926541979875669
house,9.915927274404199
off,9.908051513154334
fast,9.729578680319058
through,9.67271270864893
yes,9.437093279295278
never,9.303015542779235
first,9.285316599016939
mother,9.252510570057591
forest,9.212072430267877
sat,9.156244886693326
lay,9.115918845408434
nothing,9.05081360100792
fire,8.778240206600492
soon,8.738121833676887
run,8.63162072706811
stood,8.466626629156572
answered,8.41303482684346
morning,8.373714190678346
once,8.335770799034217
ah,8.229301674941667
yet,8.220317363028087
other,8.204849412905219
fear,8.202494706663805
two,8.114290728331708
bed,8.111715633033382
father,8.062766890818581
began,8.00503862187841
boy,7.931625649503655
afraid,7.8640354525870455
dear,7.649397095900049
round,7.618709392743445
beautiful,7.616366243118067
set,7.602065077609343
eyes,7.549081771678844
put,7.541662246793998
going,7.490744525317226
better,7.474430134971342
eat,7.443060347089859
such,7.360534698372657
large,7.198135088778219
next,7.187858947737737
peter,7.142266387486204
dead,7.121962907272889
behind,7.082034308613301
tree,7.073506479460106
children,7.020666405839096
room,7.019004199128852
something,6.984052895733494
till,6.94160727535249
heart,6.871518756076317
wanted,6.71483050689042
ground,6.644902761225596
any,6.621129088933405
bird,6.611222294874859
open,6.5831964118171316
hand,6.569840512011499
happened,6.566884217074722
herself,6.518586793031723
thing,6.43088637774196
turned,6.420703769789923
wood,6.419629893167213
left,6.285884167726457
death,6.250696916270228
castle,6.123853902906123
peasant,6.10740947585211
these,6.082006056818816
whole,6.054830787227777
every,6.0030166905739
girl,5.975663447681305
leave,5.957460804314012
three,5.956307136867417
called,5.948721734954879
look,5.938447157467646
soldier,5.9107452121735
child,5.8965727478975545
became,5.89279995179731
replied,5.759928827837332
people,5.748818464915289
fox,5.6890200885584425
red,5.663573512825945
terrible,5.6049593122455885
son,5.593163267153671
most,5.55256213940842
together,5.538177672503674
wild,5.533053851233625
evening,5.523320808037756
looking,5.517607484476861
cook,5.4652976268496785
servant,5.441646517217295
black,5.439847565844192
grandmother,5.4299759838610715
coming,5.428797035382632
golden,5.403919466631958
lost,5.4030455053716135
carried,5.391516631952336
young,5.3820225717485135
half,5.3336609596698645
sent,5.32168262322673
life,5.315498323161318
right,5.306247793308692
storm,5.305886443730843
sitting,5.243055379729413
tom,5.242848074413885
gretel,5.2279355018309595
flew,5.215752734986388
sun,5.210038449323579
hansel,5.181082284656846
dark,5.178322611939703
help,5.1715390221266615
sea,5.079141469917524
princess,5.046380806107992
wolf,4.973439248377159
things,4.966585381559823
kill,4.961477731372691
lying,4.949883890570083
